ADDR_GU,CONTENT_ID,CONTENT_NM,CRADLE_COUNT,LATITUDE,LONGITUDE,NEW_ADDR,RENT_ID
강남구,2301,현대고등학교 건너편,10.0,37.524071,127.02179,서울특별시 강남구 압구정로 134현대고등학교 건너편,ST-777
강남구,2302,교보타워 버스정류장(신논현역 3번출구 후면),10.0,37.505581,127.024277,서울특별시 강남구 봉은사로 지하 102교보타워 버스정류장,ST-787
강남구,2303,논현역 7번출구,15.0,37.511517,127.021477,서울특별시 강남구 학동로 지하 102논현역 7번출구,ST-788
강남구,2304,신영 ROYAL PALACE 앞,10.0,37.512527,127.035835,서울특별시 강남구 언주로 626신영 ROYAL PALACE앞,ST-789
강남구,2305,MCM 본사 직영점 앞,10.0,37.520641,127.034508,서울특별시 강남구 언주로 734MCM 본사 직영점 앞,ST-790
강남구,2306,압구정역 2번 출구 옆,30.0,37.527122,127.028717,서울특별시 강남구 압구정로 지하 172압구정역 2번 출구 옆,ST-791
강남구,2307,압구정 한양 3차 아파트,10.0,37.528614,127.038559,서울특별시 강남구 압구정로 321압구정 한양 3차 아파트,ST-792
강남구,2308,압구정파출소 앞,14.0,37.529301,127.035599,서울특별시 강남구 압구정로 311압구정파출소 앞,ST-793
강남구,2309,청담역(우리들병원 앞),10.0,37.518902,127.049385,서울특별시 강남구 학동로 443강남구 청담동 77-76 (학동로 443 앞 도로),ST-783
강남구,2310,청담동 맥도날드 옆(위치),10.0,37.523613,127.040176,서울특별시 강남구 학동로 지하 508청담동 맥도날드 옆,ST-794
강남구,2311,학동로 래미안 아파트 앞,10.0,37.517773,127.043022,서울특별시 강남구 학동로 지하 508학동로 래미안 아파트 앞,ST-786
강남구,2312,청담역 13번 출구 앞,10.0,37.52058,127.056328,서울특별시 강남구 영동대로 703청담역 13번 출구 앞,ST-795
강남구,2313,금원빌딩 앞,10.0,37.525116,127.052467,서울특별시 강남구 도산대로 539금원빌딩,ST-796
강남구,2314,청담나들목입구,10.0,37.521275,127.061035,서울특별시 강남구 영동대로128길 59청담나들목입구,ST-798
강남구,2315,봉은사역 5번출구 옆,10.0,37.514248,127.061119,서울특별시 강남구 봉은사로 지하 601봉은사역 5번출구 옆,ST-799
강남구,2317,삼성도로공원,10.0,37.515888,127.0662,서울특별시 강남구 영동대로112길 66삼성도로공원,ST-784
강남구,2318,삼성중앙역4번출구(문화센터더 리빌),15.0,37.513577,127.055031,서울특별시 강남구 봉은사로 531삼성중앙역4번출구(문화센터더 라빌),ST-801
강남구,2319,포스코4거리 서측(수협 삼성동 지점),10.0,37.506607,127.05468,서울특별시 강남구 테헤란로 435포스코4거리 서측(수협 삼성동 지점),ST-802
강남구,2320,도곡역 대치지구대 방향,10.0,37.491928,127.056969,서울특별시 강남구 남부순환로 지하 2814대치지구대 방향,ST-803
강남구,2321,학여울역 사거리,10.0,37.496117,127.069443,서울특별시 강남구 남부순환로 지하 3104학여울역 사거리,ST-804
강남구,2322,삼성역 3번 출구,15.0,37.508091,127.063103,서울특별시 강남구 테헤란로 534삼성역 3번 출구,ST-805
강남구,2323,주식회사 오뚜기 정문 앞,10.0,37.502213,127.067207,서울특별시 강남구 영동대로 308주식회사 오뚜기 정문 앞,ST-806
강남구,2324,천주교 대치 2동 교회 옆,10.0,37.500439,127.066223,서울특별시 강남구 도곡로 540천주교 대치 2동 교회 옆,ST-807
강남구,2325,대치동 버거킹대치점,10.0,37.49865,127.059319,서울특별시 강남구 도곡로 447대치동 버거킹대치점,ST-808
강남구,2326,대치동 삼성로,10.0,37.502396,127.0588,서울특별시 강남구 삼성로 350대치동 삼성로,ST-809
강남구,2327,뱅뱅사거리 랜드마크타워 앞,15.0,37.490551,127.031464,서울특별시 강남구 강남대로 308뱅뱅사거리 랜드마크타워 앞,ST-810
강남구,2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,10.0,37.503586,127.042641,서울특별시 강남구 언주로 506역삼지하보도 7번출구 앞,ST-811
강남구,2329,르네상스호텔사거리 역삼지하보도 2번출구,10.0,37.502357,127.04319,서울특별시 강남구 테헤란로 지하 156역삼역 지하보도 2번출구,ST-812
강남구,2330,스타벅스 앞,10.0,37.492199,127.039459,서울특별시 강남구 도곡로 183스타벅스 앞,ST-813
강남구,2331,동영문화센터앞,20.0,37.498051,127.044601,서울특별시 강남구 언주로 337동영문화센터앞,ST-814
강남구,2332,선릉역3번출구,8.0,37.504208,127.048965,서울특별시 강남구 선릉로 435선릉역 3번출구,ST-815
강남구,2333,양재역 3번출구 주변,15.0,37.485157,127.034073,서울특별시 강남구 강남대로 240양재역 3번출구 주변,ST-816
강남구,2334,8삼호@ 2동 ( 간선도로),15.0,37.493759,127.045898,서울특별시 강남구 선릉로 지하 2288.삼호@ 2동 ( 간선도로),ST-817
강남구,2335,3호선 매봉역 3번출구앞,10.0,37.486767,127.046761,서울특별시 강남구 남부순환로 27483호선 매봉역 3번출구앞,ST-818
강남구,2336,강남세브란스교차로  래미안그레이튼 104동 앞,10.0,37.494236,127.047462,서울특별시 강남구 선릉로 지하 228강남세브란스교차로  래미안그레이튼 104동 앞,ST-819
강남구,2337,대모산입구역 2번출구 앞,15.0,37.492077,127.071976,서울특별시 강남구 영동대로 101대모산입구역 2번출구 앞,ST-782
강남구,2339,현대아파트 정문 앞,10.0,37.483261,127.052299,서울특별시 강남구 언주로 107현대아파트 정문 앞,ST-820
강남구,2340,삼호물산버스정류장(23370) 옆,15.0,37.477509,127.045174,서울특별시 강남구 논현로 82삼호물산버스정류장(23370) 옆,ST-821
